,State,ISO,ISO_numeric
0,AL,NO ISO,0
1,AK,NO ISO,0
2,AZ,NO ISO,0
3,AR,NO ISO,0
4,CA,CAISO,1
5,CO,NO ISO,0
6,CT,ISO-NE,6
7,DE,NO ISO,0
8,FL,NO ISO,0
9,GA,NO ISO,0
10,HI,NO ISO,0
11,ID,NO ISO,0
12,IL,MISO,3
13,IN,MISO,3
14,IA,MISO,3
15,KS,SPP,2
16,KY,NO ISO,0
17,LA,NO ISO,0
18,ME,ISO-NE,6
19,MD,NO ISO,0
20,MA,ISO-NE,6
21,MI,MISO,3
22,MN,MISO,3
23,MS,NO ISO,0
24,MO,MISO,3
25,MT,NO ISO,0
26,NE,MISO,3
27,NV,NO ISO,0
28,NH,ISO-NE,6
29,NJ,NO ISO,0
30,NM,NO ISO,0
31,NY,NYISO,5
32,NC,NO ISO,0
33,ND,MISO,3
34,OH,PJM,4
35,OK,SPP,2
36,OR,NO ISO,0
37,PA,PJM,4
38,RI,ISO-NE,6
39,SC,NO ISO,0
40,SD,MISO,3
41,TN,NO ISO,0
42,TX,ERCOT,7
43,UT,NO ISO,0
44,VT,ISO-NE,6
45,VA,NO ISO,0
46,WA,NO ISO,0
47,WV,NO ISO,0
48,WI,MISO,3
49,WY,NO ISO,0
